"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"GARE DE VILLEPINTE","PCG00044","Gare De Villepinte","Route C.Pissaro","93420","VILLEPINTE","48.962838","2.511751"
"GARE DE SEVRAN LIVRY","PCG00047","Gare De Sevran Livry","1 place de la gare","93270","SEVRAN","48.935950","2.534755"
"GARE DE LE CHESNAY GAGNY","PCG00045","Gare De Le Chesnay Gagny","42 Rue du chemin de fer ","93220","GAGNY","48.876735","2.552763"
"GARE DE CLAMART","PCG00027","Gare De Clamart","Place de la gare","92140","CLAMART","48.813873","2.272907"
"GARE DE MEUDON","PCG00101","Gare De Meudon","1B RUE ALEXANDRE GUILMANT","92190","MEUDON","48.815078","2.240905"
"GARE DE MONTGERON CROSNE","PCG00028","Gare De Montgeron Crosne","Place Joseph Piette","91230","MONTGERON","48.708289","2.462028"
"GARE DE RAMBOUILLET","PCG00013","Gare De Rambouillet","33 rue de la Prairie","78120","RAMBOUILLET","48.643434","1.832175"
"GARE DE VILLIERS LE BEL GONESSE ARNOUVILLE","PCG00056","Gare d'Arnouville Villiers le Bel","20 rue Jean Jaurès","95400","ARNOUVILLE","48.993795","2.417309"
"GARE DE CERGY PREFECTURE","PCG00052","Gare De Cergy Prefecture","Boulevard de l'oise","95800","CERGY","49.036529","2.079670"
"GARE DE FONTENAY LE FLEURY","PCG00014","Gare De Fontenay Le Fleury","Rue Georges Pompidou - D127","78330","FONTENAY-LE-FLEURY","48.807396","2.040412"
"GARE DE DEUIL MONTMAGNY","PCG00057","Gare De Deuil Montmagny","2 Avenue du Commandant Manoukian","95170","DEUIL-LA-BARRE","48.975828","2.337612"
"GARE DE HOUILLES CARRIERES SUR SEINE","PCG00074-161207","Gare De Houilles Carrières Sur Seine","1 rue du 4 septembre","78800","HOUILLES","48.920544","2.185734"
"GARE DE LA PLAINE STADE DE FRANCE - SAINT-DENIS AU","PCG00041","Gare De La Plaine Stade De France - Saint-Denis Au","Place des droits de l'Homme","93200","SAINT-DENIS","48.918450","2.362623"
"Bureau de Poste - Ecole Militaire","PCG00105-161128","Bureau de Poste - Ecole Militaire","56 rue Cler","75007","PARIS","48.855525","2.306890"
"GARE DE LAGNY THORIGNY","PCG00061","Gare De Lagny Thorigny","2 Rue de la Gare","77400","THORIGNY-SUR-MARNE","48.881886","2.703892"
"GARE DE ROSNY SOUS BOIS","PCG00040","Gare De Rosny Sous Bois","1 place des Martyrs de la résistance ","93110","ROSNY-SOUS-BOIS","48.870738","2.485394"
"GARE DE BIBLIOTHEQUE F. MITTERRAND","PCG00063","Gare De Bibliotheque F. Mitterrand","83 Avenue de France","75013","PARIS","48.829793","2.376740"
